YEAR,MO,DY,HR,Avg Power,Irradiance(Ideal),Temperature,Precipitation,Wind Speed,Wind Direction,Specific Humidity,Wind Speed(50M),Wind Direction(50M),Surface Pressure,Relative Humidity,PM2.5,PM10,WS,WD
2021,1,2,9,1316.68,136.05,13.12,2.78,3.3,97.34,4.03,3.85,99.1,99.18,42.5,165.55,364.81,0.42,172.59
2021,1,2,10,1951.18,165.14,14.35,2.25,4.0,105.39,4.76,4.75,108.79,99.12,46.19,147.75,287.56,0.54,164.73
2021,1,2,11,2585.68,160.2,16.26,0.92,4.3,108.53,5.55,5.06,112.05,99.01,47.75,145.94,325.5,0.82,116.65
2021,1,2,12,7514.32,215.67,17.58,0.19,4.82,112.61,6.23,5.65,115.57,98.9,48.88,,,0.94,117.02
2021,1,2,13,9470.32,181.65,18.0,0.04,4.96,114.99,6.65,5.84,117.77,98.81,51.12,125.3,486.67,1.23,125.15
2021,1,2,14,7028.0,120.77,18.27,0.01,4.86,116.65,6.96,5.76,119.31,98.74,52.56,113.09,419.94,1.26,122.22
2021,1,2,15,3519.68,61.69,17.8,0.0,4.39,116.88,7.26,5.45,118.14,98.71,56.12,107.91,368.44,1.16,125.16
2021,1,2,16,1478.68,23.65,15.75,0.01,2.88,114.89,7.63,5.66,115.79,98.71,67.62,112.92,338.66,1.11,133.16
2021,1,2,17,0.0,0.0,13.68,0.01,3.06,125.03,7.51,6.52,125.84,98.74,75.75,130.63,339.37,0.88,133.71
2021,1,2,18,0.0,0.0,13.1,0.03,3.74,133.64,7.45,7.09,133.88,98.78,78.0,126.27,336.66,0.93,145.88
2021,1,2,19,0.0,0.0,12.33,0.08,3.83,137.23,7.45,7.06,137.38,98.8,82.19,114.61,342.64,0.84,145.01
2021,1,2,20,0.0,0.0,11.79,0.12,3.7,138.85,7.51,6.83,138.94,98.81,85.69,134.06,338.56,0.49,168.67
2021,1,2,21,0.0,0.0,11.26,0.11,3.35,137.74,7.57,6.5,137.73,98.79,89.38,119.85,327.04,0.12,141.77
2021,1,2,22,0.0,0.0,10.97,0.07,3.25,137.44,7.63,6.47,138.03,98.77,91.94,110.73,311.07,0.38,159.89
2021,1,2,23,0.0,0.0,10.94,0.05,3.34,140.69,7.69,6.45,141.05,98.74,93.06,117.6,305.22,0.28,160.03
2021,1,3,0,0.0,0.0,11.01,0.04,3.27,141.21,7.81,6.33,141.77,98.71,93.62,97.38,287.24,0.28,151.01
2021,1,3,1,0.0,0.0,11.28,0.09,3.35,140.11,7.93,6.2,140.73,98.67,93.31,98.62,287.75,0.23,122.03
2021,1,3,2,0.0,0.0,11.53,0.29,3.36,137.45,8.06,6.11,138.11,98.64,93.38,87.92,256.87,0.38,76.17
2021,1,3,3,0.0,0.0,11.79,0.47,3.55,134.82,8.24,6.09,135.31,98.61,93.62,107.17,264.02,0.57,100.54
2021,1,3,4,0.0,0.0,12.02,0.51,3.73,133.39,8.36,6.12,133.76,98.62,94.06,80.58,265.39,0.49,109.79
2021,1,3,5,0.0,0.0,12.19,0.51,3.84,133.02,8.54,6.22,133.27,98.65,94.88,104.12,277.98,0.62,114.18
2021,1,3,6,0.0,0.0,12.43,0.34,4.02,131.46,8.73,6.46,131.71,98.72,95.44,129.12,293.08,0.92,131.62
2021,1,3,7,221.34,18.3,12.97,0.25,4.45,129.16,8.97,6.56,129.59,98.77,94.69,121.52,315.27,1.09,117.71
2021,1,3,8,442.68,58.93,14.08,1.74,5.27,129.28,9.4,6.69,129.98,98.83,92.25,124.03,285.08,1.4,116.88
2021,1,3,9,944.0,121.91,15.53,1.04,5.57,130.57,9.89,6.84,131.34,98.87,88.75,103.61,254.23,1.15,123.27
2021,1,3,10,1279.32,131.62,17.73,1.18,5.89,128.7,9.95,7.14,129.58,98.81,77.19,93.74,196.34,1.03,126.44
2021,1,3,11,4130.0,154.97,19.35,2.26,6.29,127.64,9.7,7.59,128.65,98.7,68.06,61.49,200.17,1.26,118.59
2021,1,3,12,6531.68,123.55,20.16,1.66,6.55,128.51,9.7,7.93,129.36,98.6,64.69,76.03,187.06,1.57,133.56
2021,1,3,13,6162.32,83.3,20.37,0.33,6.45,130.68,9.89,7.95,131.46,98.54,64.81,53.1,173.25,1.67,122.75
2021,1,3,14,3723.32,57.16,20.33,0.1,5.8,133.2,9.95,7.3,133.83,98.5,65.62,78.76,133.22,1.46,116.07
2021,1,3,15,3618.68,29.79,19.54,0.1,4.32,132.29,10.31,6.32,132.75,98.51,71.25,51.28,130.56,1.76,121.15
2021,1,3,16,1542.32,21.76,17.78,0.16,3.26,127.8,10.5,6.61,128.71,98.52,81.06,35.88,112.9,1.72,120.52
2021,1,3,17,0.0,0.0,16.25,0.22,3.45,125.96,10.13,7.42,126.52,98.56,86.5,35.53,104.83,1.17,118.72
2021,1,3,18,0.0,0.0,15.37,0.14,3.59,123.9,9.95,7.6,124.23,98.61,89.88,36.84,81.22,0.77,135.05
2021,1,3,19,0.0,0.0,14.58,0.06,3.67,123.28,9.83,7.48,123.37,98.68,93.25,41.62,81.6,0.64,155.39
2021,1,3,20,0.0,0.0,14.05,0.02,4.26,129.35,9.64,7.59,129.28,98.74,95.12,38.14,84.47,0.62,140.5
2021,1,3,21,0.0,0.0,13.56,0.03,4.37,134.49,9.52,7.35,134.78,98.8,96.81,43.88,86.33,0.22,154.92
2021,1,3,22,0.0,0.0,12.97,0.03,3.49,133.64,9.34,6.58,133.65,98.79,98.81,74.75,80.22,0.11,138.97
2021,1,3,23,0.0,0.0,12.34,0.03,2.78,129.99,9.16,6.06,130.3,98.75,100.0,58.61,75.71,0.4,147.21
2021,1,4,0,0.0,0.0,12.11,0.03,2.8,127.41,9.09,6.18,127.61,98.73,100.0,54.71,75.19,0.35,179.01
2021,1,4,1,0.0,0.0,11.95,0.03,2.78,125.61,9.03,6.14,125.73,98.7,100.0,43.35,76.73,0.22,39.89
2021,1,4,2,0.0,0.0,11.71,0.02,2.6,123.98,8.97,5.73,124.1,98.7,100.0,44.18,76.49,0.07,85.65
2021,1,4,3,0.0,0.0,11.42,0.02,2.49,122.6,8.91,5.19,122.9,98.7,100.0,55.12,70.43,0.38,79.51
2021,1,4,4,0.0,0.0,11.16,0.06,2.5,121.85,8.79,4.92,122.35,98.73,100.0,40.38,90.09,0.31,86.1
2021,1,4,5,0.0,0.0,10.92,0.36,2.56,124.56,8.73,4.98,124.96,98.8,100.0,54.93,92.0,0.58,87.89
2021,1,4,6,0.0,0.0,10.73,0.62,2.6,129.28,8.61,5.03,129.65,98.87,100.0,62.53,94.0,0.78,95.52
2021,1,4,7,116.34,46.09,12.55,0.93,2.4,133.94,9.09,4.53,133.81,98.96,98.62,43.09,83.72,0.67,141.3
2021,1,4,8,232.68,151.52,14.87,0.13,2.73,134.65,9.7,3.22,135.39,99.03,90.62,53.61,81.05,0.24,145.4
2021,1,4,9,2169.0,267.09,17.38,0.08,2.91,144.39,10.19,3.58,146.14,99.07,81.25,51.22,87.0,0.49,122.36
2021,1,4,10,10585.0,385.35,20.26,0.05,3.63,147.85,10.25,4.38,147.76,99.02,68.25,47.84,78.91,0.82,70.09
2021,1,4,11,21277.68,428.95,22.72,0.08,4.21,146.96,10.07,5.05,146.6,98.93,57.62,50.98,105.05,1.01,79.35
2021,1,4,12,11930.68,344.12,24.25,0.06,4.71,146.1,9.77,5.61,145.38,98.83,50.75,66.34,109.18,0.49,114.35
2021,1,4,13,6310.68,276.82,24.95,0.04,5.13,144.18,9.22,6.15,143.32,98.75,46.19,45.76,118.61,0.67,31.51
2021,1,4,14,8931.32,186.75,24.78,0.02,5.19,140.44,8.73,6.3,139.73,98.69,44.12,53.54,119.13,0.89,165.13
2021,1,4,15,3816.68,97.95,23.76,0.0,4.4,136.08,8.54,5.86,135.49,98.65,45.94,71.82,138.66,0.82,84.72
2021,1,4,16,355.0,30.91,20.3,0.02,2.57,126.1,9.16,5.11,126.36,98.58,60.5,70.16,149.1,0.4,202.89
2021,1,4,17,0.0,0.0,17.51,0.01,2.06,167.49,8.67,3.68,170.46,98.61,68.44,89.72,368.3,0.7,268.52
2021,1,4,18,0.0,0.0,17.15,0.01,4.86,244.09,9.28,7.55,241.15,98.98,75.19,92.95,224.79,1.18,250.24
